word,frequency,lemmas,seven_k,pos,cefr,ranking,tc
barbarian,2079,"[""barbarians""]",5,"[""noun"",""adjective""]",,7168,"n.粗魯無禮的人,野蠻人adj.野蠻的,粗魯的"
impel,2051,"[""impelled"",""impelling"",""impels""]",5,"[""verb transitive"",""other"",""noun"",""adjective"",""adv""]",,7169,"vt.推動,推進,激勵,驅使,逼迫"
tick,2029,"[""ticked"",""ticking"",""ticks""]",5,"[""noun"",""verb intransitive"",""verb transitive"",""other""]",,7170,"n.滴答聲,記號,勾號,扁虱v.滴答地響,標以記號,作滴答聲"
newscast,2012,"[""newscasts""]",5,"[""other""]",,7171,n.<美>新聞廣播
clover,2002,"[""clovers""]",5,"[""noun""]",,7172,"n.[植]三葉草,苜蓿"
vapor,1998,"[""vapors""]",5,"[""noun"",""verb transitive"",""other"",""adjective"",""verb intransitive""]",,7173,"n.水汽,水蒸氣,無實質之物vi.蒸發,自誇vt.使蒸發n.自誇者"
barren,1991,"[""barrens""]",5,"[""adjective"",""noun""]",,7174,"adj.不生育的,不孕的,貧瘠的,沒有結果的,無益的,單調的,無聊的,空洞的n.荒地"
whisky,1983,"[""whiskies""]",5,"[""noun"",""noun (plural)""]",,7175,n.威士忌酒adj.威士忌酒的
temptation,1981,"[""temptations""]",5,"[""noun""]",,7176,"n.誘惑,誘惑物"
banquet,1981,"[""banquets""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7177,n.宴會
caretaker,1974,"[""caretakers""]",5,"[""noun""]",,7178,"n.管理者,看管者,看守者"
veil,1967,"[""veiled"",""veiling"",""veils""]",5,"[""noun"",""other"",""adjective""]",,7179,"n.面紗,面罩,帳,幕,掩飾物,遮蔽物,口實,假托vt.戴面紗,隱藏,遮蔽,掩飾vi.蒙上面紗"
clam,1966,"[""clammed"",""clamming"",""clams""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",,7180,
blacksmith,1942,"[""blacksmiths""]",5,"[""noun""]",,7181,"n.鍛工,鐵匠"
modernize,1937,"[""modernized"",""modernizing""]",5,"[""verb transitive"",""other""]",,7182,v.使現代化
stump,1929,"[""stumped"",""stumping"",""stumps""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7183,"n.樹樁,殘余,煙頭v.掘去樹樁,砍成樹樁,絆倒,難住,截去"
pastry,1927,"[""pastries""]",5,"[""noun"",""noun (plural)""]",,7184,"n.面粉糕餅,餡餅皮"
cellar,1926,"[""cellars""]",5,"[""noun""]",,7185,"n.地窖,地下室,酒窖,藏酒量"
mourn,1887,"[""mourned"",""mourning"",""mourns""]",5,"[""verb intransitive"",""verb transitive"",""other"",""noun"",""adjective""]",,7186,"v.哀悼,憂傷,服喪"
carp,1878,"[""carping"",""carped"",""carps""]",5,"[""verb intransitive"",""verb transitive"",""noun (plural)"",""noun"",""other"",""adjective""]",,7187,n.鯉魚vi.吹毛求疵
dormitory,1878,"[""dormitories""]",5,"[""noun"",""noun (plural)""]",,7188,n.宿舍
woodpecker,1876,"[""woodpeckers""]",5,"[""noun""]",,7189,n.[鳥]啄木鳥
mustard,1868,"[""mustards""]",5,"[""noun""]",,7190,"n.芥菜,芥末,芥末色,芥子氣"
stout,1858,"[""stouter"",""stoutest"",""stouts""]",5,"[""superlative"",""noun""]",,7191,"adj.結實的,勇敢堅定的,激烈的,矮胖的,頑強的n.矮胖子,烈性啤酒"
backbone,1846,"[""backbones""]",5,"[""noun""]",,7192,"n.脊椎,中樞,骨干,支柱,意志力,勇氣,毅力,決心;骨干網"
foul,1841,"[""fouler"",""foulest"",""fouled"",""fouling"",""fouls""]",5,"[""noun"",""superlative"",""verb transitive"",""verb intransitive"",""other""]",,7193,"adj.污穢的,邪惡的,肮髒的,淤塞的,惡劣的vt.弄髒,妨害,污蔑,犯規,淤塞vi.腐爛,犯規,纏結n.犯規,纏繞adv.違反規則地,不正當地"
heavenly,1825,"[""heavenlies""]",5,"[""adjective"",""adv""]",,7194,"adj.如天堂的,神聖的,天空的,極優美的,天上的"
poultry,1825,"[""poultries""]",5,"[""noun""]",,7195,n.家禽
token,1764,"[""tokens""]",5,"[""noun""]",,7196,"n.表示,向征,記號,代幣adj.像征的,表意的"
scent,1750,"[""scented"",""scenting"",""scents""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other""]",,7197,"n.氣味,香味,香水,線索,嗅覺,臭跡vt.聞出,嗅,發覺,循著遺臭追蹤,使充滿氣味vi.嗅獵,發出氣味"
stanza,1736,"[""stanzas""]",5,"[""noun"",""noun (plural)""]",,7198,"n.節,演出期,比賽中的盤"
intuit,1732,"[""intuited"",""intuiting"",""intuits""]",5,"[""noun"",""adjective"",""adv""]",,7199,v.由直覺知道
broaden,1717,"[""broadened"",""broadening"",""broadens""]",5,"[""adjective"",""verb transitive"",""other""]",,7200,"v.放寬,變寬,擴大,加寬"
zoom,1705,"[""zoomed"",""zooming"",""zooms""]",5,"[""noun"",""verb"",null]",,7201,"n.急速上升,陡直上升,圖像電子放大,縮放,嗡嗡聲vi.突然擴大,急速上升,攝像機移動vt.使攝像機移動"
orphanage,1698,"[""orphanages""]",5,"[""noun""]",,7202,"n.孤兒院,孤兒身份"
nightingale,1692,"[""nightingales""]",5,"[""noun""]",,7203,"n.[動]夜鶯,<美俚>(尤指愛爾蘭民歌的)男高音者"
slain,1681,"[""slains""]",5,"[""past participle"",""verb transitive"",""other""]",,7204,vbl.slay的過去分詞
clutch,1671,"[""clutched"",""clutching"",""clutches""]",5,"[""noun"",""verb intransitive"",""other""]",,7205,"v.抓住,攫住n.離合器"
tyrant,1671,"[""tyrants""]",5,"[""noun"",""verb intransitive""]",,7206,n.暴君
pinch,1661,"[""pinched"",""pinching"",""pinches""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",,7207,"n.捏,撮,收縮,緊急關頭,匱乏,壓力vt.掐,夾痛,修剪,勒索,使感缺乏,使萎縮,偷vi.收縮,節省"
locust,1627,"[""locusts""]",5,"[""noun""]",,7208,"n.[動]蝗蟲,蚱蜢,蟬"
gorilla,1617,"[""gorillas""]",5,"[""noun""]",,7209,"n.大猩猩,壯而殘暴的男人,<俚>歹徒(尤指使用暴力者)"
curb,1609,"[""curbed"",""curbing"",""curbs""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other""]",,7210,n.路邊
perish,1602,"[""perished"",""perishing"",""perishes""]",5,"[""verb intransitive"",""verb transitive"",""other"",""adjective""]",,7211,"vi.毀滅,死亡,腐爛,枯萎vt.毀壞,使麻木"
blizzard,1598,"[""blizzards""]",5,"[""noun""]",,7212,n.大風雪
peg,1594,"[""pegged"",""pegging"",""pegs""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7213,"n.釘,栓,樁,銷子,借口vt.釘木釘,固定,限制vi.堅持不懈地工作 Peg 佩格(女子名)"
vanity,1587,"[""vanities""]",5,"[""noun"",""noun (plural)""]",,7214,n.空虛
brace,1580,"[""braced"",""bracing"",""braces""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""adjective""]",,7215,"n.支柱,帶子,振作精神vt.支住,撐牢,振作起來,奮起adj.曲柄的v.支持"
glee,1578,"[""glees""]",5,"[""noun""]",,7216,"n.歡樂,高興"
outgo,1575,"[""outgos""]",5,"[""verb transitive"",""noun"",""other"",""adjective""]",,7217,"v.走得比...遠或快,優於n.支出,消耗"
salute,1569,"[""saluted"",""saluting"",""salutes""]",5,"[""verb transitive"",""verb"",""other"",""noun""]",,7218,"n.(尤指軍隊等之)舉手禮,升降旗致敬,嗚禮炮等,敬禮v.行禮致敬,敬禮"
muscular,1567,"[""musculars""]",5,"[""adjective""]",,7219,"adj.肌肉的,強健的"
tuna,1561,[],5,"[""noun""]",,7220,n.金槍魚n.[動] 鮪魚
kin,1528,"[""kins""]",5,"[""other"",""noun"",""adjective""]",,7221,"n.家屬(集合稱),親戚,同族,血緣關系,家族adj.有親屬關系的,性質類似的,同類的"
contaminate,1527,"[""contaminated"",""contaminating"",""contaminates""]",5,"[""verb transitive"",""adjective"",""other""]",,7222,v.污染
stray,1512,"[""strayed"",""straying"",""strays""]",5,"[""adjective"",""verb transitive"",""verb intransitive"",""noun"",""other""]",,7223,"v.迷路,偏離,漂泊,漂泊游蕩adj.迷路的,離群的,偶遇的"
shutter,1511,"[""shutters""]",5,"[""noun"",""adjective""]",,7224,"n.關閉者,百葉窗,快門,<美俚>安眠藥;vt.關上,裝以遮門,以百葉窗遮閉"
bodyguard,1511,"[""bodyguards""]",5,"[""noun""]",,7225,"n.保鏢,護衛"
publicize,1502,"[""publicized"",""publicizing""]",5,"[""verb""]",,7226,v.宣揚
blur,1496,"[""blurred"",""blurring"",""blurs""]",5,"[""verb transitive"",""noun"",""other""]",,7227,"v.塗污,污損(名譽等),把(界線,視線等)弄得模糊不清,弄污n.污點"
esteem,1494,"[""esteemed"",""esteems"",""esteeming""]",5,"[""verb transitive"",""verb intransitive"",""other""]",,7228,"vt.把...看作,尊敬,尊重,認為n.尊敬,尊重"
mermaid,1471,"[""mermaids""]",5,"[""noun""]",,7229,"n.(傳說中的)美人魚,<美>女子游泳健將"
comrade,1458,"[""comrades""]",5,"[""noun""]",,7230,"n.朋友,同志,伙伴"
menace,1455,"[""menaced"",""menacing"",""menaces""]",5,"[""noun"",""verb intransitive"",""other""]",,7231,"n.威脅,危險物v.恐嚇,危及,威脅"
fertilizer,1447,"[""fertilizers""]",5,"[""noun""]",,7232,"n.肥料(尤指化學肥料),[動]受精媒介物"
dispense,1441,"[""dispensed"",""dispensing"",""dispenses""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",,7233,"vt.分發,分配"
strap,1438,"[""strapped"",""strapping"",""straps""]",5,"[""noun"",""verb transitive"",""other"",""adjective""]",,7234,"n.帶,皮帶vt.用帶縛住,用帶捆扎"
snatch,1413,"[""snatched"",""snatching"",""snatches""]",5,"[""noun"",""verb intransitive"",""other""]",,7235,v.攫取n.攫取
alligator,1399,"[""alligators""]",5,"[""noun""]",,7236,n.產於美洲的鱷魚
swarm,1398,"[""swarmed"",""swarming"",""swarms""]",5,"[""verb intransitive"",""noun"",""verb transitive"",""other""]",,7237,"n.蜂群,一大群v.湧往,擠滿,密集,成群浮游,雲集"
dough,1393,"[""doughs""]",5,"[""noun""]",,7238,"n.生面團,<美俚> 錢,金錢"
brood,1385,"[""brooded"",""brooding"",""broods""]",5,"[""verb transitive"",""adjective"",""verb intransitive"",""other""]",,7239,"n.(動物中鳥或家禽的)一窩,(同種或同類的)一伙vt.孵,沉思"
superficial,1384,[],5,"[""adjective""]",,7240,"adj.表面的,膚淺的,淺薄的"
wither,1375,"[""withered"",""withering"",""withers""]",5,"[""noun"",""verb transitive"",""other"",""adjective"",""prep""]",,7241,"vt.使凋謝,使消亡,使畏縮vi.枯萎,衰退,感到羞愧"
fatigue,1374,"[""fatigued"",""fatiguing"",""fatigues""]",5,"[""noun"",""other""]",,7242,"n.疲乏,疲勞,累活,[軍]雜役vt.使疲勞,使心智衰弱vi.疲勞"
teller,1374,"[""tellers""]",5,"[""noun""]",,7243,"n.講話的人,告訴的人,(銀行)出納員,(投票的)檢票員"
jasmine,1365,"[""jasmines""]",5,"[""noun""]",,7244,"n.茉莉,素馨,淡黃色"
puff,1363,"[""puffed"",""puffing"",""puffs""]",5,"[""noun"",""verb transitive"",""adjective"",""other""]",,7245,"n.一陣噴煙,腫塊,蓬松,吹噓,宣傳廣告v.噴出,張開,誇張,(使)膨脹,(使)驕傲,喘息,鼓吹,吹捧"
jolly,1359,"[""jollier"",""jolliest"",""jollied"",""jollying"",""jollies""]",5,"[""superlative"",""noun""]",,7246,"adj.歡樂的,高興的,快活的"
cracker,1356,"[""crackers""]",5,"[""noun""]",,7247,"n.餅干,爆竹,胡桃夾n.解密高手"
abide,1355,"[""abided"",""abiding"",""abides"",""abode""]",5,"[""verb intransitive"",""verb transitive"",""other"",""adjective"",""noun""]",,7248,"vi.堅持,遵守;vt.忍受,容忍"
compliment,1353,"[""complimented"",""complimenting"",""compliments""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""adjective""]",,7249,"n.稱贊,恭維,致意,問候,道賀vt.稱贊,褒揚,恭維"
scramble,1352,"[""scrambled"",""scrambling"",""scrambles""]",5,"[""verb intransitive"",""verb transitive"",""noun"",""other"",""adjective""]",,7250,"n.爬行,攀緣,搶奪,混亂vi.攀緣,雜亂蔓延,爭奪,拼湊,匆忙vt.攀登,攪亂,使混雜"
odor,1346,"[""odors""]",5,"[""noun"",""adjective""]",,7251,"n.氣味,名聲"
hijack,1344,"[""hijacked"",""hijacking"",""hijacks""]",5,"[""noun"",""verb"",null]",,7252,"vt.搶劫,劫持,劫機,揩油"
roam,1338,"[""roamed"",""roaming"",""roams""]",5,"[""verb intransitive"",""verb transitive"",""noun"",""other""]",,7253,"v.漫游,閑逛,徜徉n.漫步,漫游,徘徊"
veto,1323,"[""vetoed"",""vetoing"",""vetos""]",5,"[""noun"",""verb transitive"",""other"",""noun (plural)""]",,7254,"n.否決,禁止,否決權vt.否決,禁止"
calf,1319,"[""calves""]",5,"[""noun"",""noun (plural)""]",,7255,"n.小牛,小牛皮,小腿"
octopus,1299,"[""octopi""]",5,"[""noun""]",,7256,n.章魚
jingle,1296,"[""jingled"",""jingling"",""jingles""]",5,"[""verb intransitive"",""verb transitive"",""noun"",""other""]",,7257,"n.叮當聲v.(使)作叮當聲,(使)押韻"
clockwise,1291,[],5,"[""adjective"",""adverb""]",,7258,adj.順時針方向的adv.順時針方向地
bulge,1284,"[""bulged"",""bulging"",""bulges""]",5,"[""noun"",""verb intransitive"",""other""]",,7259,"n.凸出部分v.凸出,膨脹"
repay,1280,"[""repaid"",""repaying"",""repays""]",5,"[""verb transitive"",""other"",""noun"",""adjective""]",,7260,"v.償還,報答,報復"
ass,1272,"[""asses""]",5,"[""noun"",""noun (plural)""]",,7261,"n.驢,笨人,臀部"
yarn,1270,"[""yarns""]",5,"[""noun""]",,7262,"n.紗,紗線,故事,奇談"
braid,1269,"[""braiding"",""braided"",""braids""]",5,"[""verb transitive"",""noun"",""verb intransitive"",""other""]",,7263,v.編織n.編織物
noticeable,1269,[],5,"[""adjective""]",,7264,"adj.顯而易見的,值得注意的"
adore,1266,"[""adored"",""adoring"",""adores""]",5,"[""verb transitive"",""other"",""noun"",""adjective"",""adv""]",,7265,"v.崇拜,愛慕,(口語)喜愛"
flap,1262,"[""flapped"",""flapping"",""flaps""]",5,"[""verb"",""noun"",""verb intransitive"",""other""]",,7266,"n.拍打,拍打聲,副翼v.拍打,鼓翼而飛,飄動,拉下(帽)的邊,扔,擲"
rumble,1259,"[""rumbled"",""rumbling"",""rumbles""]",5,"[""verb intransitive"",""noun"",""verb transitive"",""other""]",,7267,"v.隆隆聲,轆轆行駛,低沉地說n.隆隆聲,轆轆聲,吵嚷聲"
peril,1256,"[""perils""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""adjective"",""other""]",,7268,n.危險
stew,1253,"[""stewed"",""stewing"",""stews""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7269,"v.燉,燜,受悶熱n.燉肉(或菜),悶熱,擁擠,魚塘,人工養蠔場"
majestic,1244,"[""majestics""]",5,"[""adjective""]",,7270,"adj.宏偉的,莊嚴的"
flick,1239,"[""flicked"",""flicking"",""flicks""]",5,"[""verb transitive"",""noun"",""other"",""verb intransitive""]",,7271,"n.(用鞭)快速的輕打,輕打聲,彈開v.輕彈,輕輕拂去,忽然搖動,(翅)拍動,(旗)飄揚"
flake,1216,"[""flaked"",""flaking"",""flakes""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7272,"n.薄片v.使成薄片,剝落,雪片般落下"
reap,1214,"[""reaped"",""reaping"",""reaps""]",5,"[""verb transitive"",""verb intransitive"",""verb"",""other"",""noun""]",,7273,"v.收割,收獲"
vigorous,1194,[],5,"[""adjective""]",,7274,"adj.精力旺盛的,有力的,健壯的"
overflow,1187,"[""overflowed"",""overflowing"",""overflows""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other""]",,7275,"n.溢出,超值,泛濫,充滿,洋溢v.(使)泛濫,(使)溢出,(使)充溢"
shuttered,1181,[],5,"[""adjective"",""noun""]",,7276,
cocoon,1180,"[""cocooned"",""cocoons""]",5,"[""noun""]",,7277,n.繭
aisle,1177,"[""aisles""]",5,"[""noun""]",,7278,"n.走廊,過道"
calligraphy,1170,"[""calligraphys""]",5,"[""noun""]",,7279,n.書法
inward,1168,"[""inwards""]",5,"[""adjective"",""noun"",""adv""]",,7280,"adv.向內,在內adj.向內的,內在的"
abode,1162,"[""abodes""]",5,"[""other"",""noun"",""verb transitive"",""verb intransitive""]",,7281,"n.住所,住處"
parlor,1160,"[""parlors""]",5,"[""noun""]",,7282,"n.客廳,會客室,店營業室,業務室adj.客廳的"
traitor,1158,"[""traitors""]",5,"[""noun"",""adjective"",""verb transitive""]",,7283,"n.叛逆者,叛國者"
bleach,1158,"[""bleaching"",""bleached"",""bleaches""]",5,"[""adjective"",""verb intransitive"",""other"",""noun""]",,7284,"v.漂白,變白"
utter,1156,"[""uttered"",""uttering"",""utters""]",5,"[""adjective"",""other"",""noun""]",,7285,"adj.全然的,絕對的vt.發出,做聲,發表,發射,流通"
sneak,1155,"[""sneaked"",""sneaking"",""sneaks""]",5,"[""verb intransitive"",""other"",""verb transitive"",""noun"",""adjective""]",,7286,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷竊n.鬼鬼祟祟的人,偷偷摸摸的行為,<美口>帆布膠底運動鞋adj.暗中進行的"
grim,1154,"[""grimmer"",""grimmest""]",5,"[""other""]",,7287,adj.嚴酷的
jug,1144,"[""jugs""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7288,"n.水壺,監牢,[像聲]模仿夜鶯的叫聲vt.放入壺中,燉,關押vi.模仿夜鶯叫"
squat,1138,"[""squatted"",""squatting"",""squats"",""squated"",""squating""]",5,"[""noun"",""verb transitive"",""adjective"",""other""]",,7289,"v.蹲坐,蹲伏n.蹲坐adj.蹲著的"
ounce,1137,"[""ounces""]",5,"[""noun""]",,7290,"n.盎司,少量,[動]雪豹"
stride,1136,"[""strode"",""striding"",""strides"",""stridden""]",5,"[""verb transitive"",""noun"",""other"",""past participle""]",,7291,"v.大步走(過),跨過,大步行走n.步幅"
crouch,1123,"[""crouched"",""crouching"",""crouches""]",5,"[""verb intransitive"",""verb transitive"",""other"",""adjective""]",,7292,"vi.蜷縮,蹲伏"
doorway,1122,"[""doorways""]",5,"[""noun""]",,7293,n.門口
sow,1113,"[""sowed"",""sowing"",""sown"",""sows""]",5,"[""verb intransitive"",""noun"",""verb transitive"",""other"",""past participle""]",,7294,"n.大母豬vt.播種,散布,使密布vi.播種"
howl,1098,"[""howled"",""howling"",""howls""]",5,"[""verb intransitive"",""verb transitive"",""noun"",""other""]",,7295,"v.嚎叫,怒吼,嚎啕大哭,喝住,號叫n.嚎叫,怒號,嚎哭"
mash,1096,"[""mashed"",""mashing"",""mashes""]",5,"[""noun"",""verb transitive"",""other""]",,7296,v.搗碎
stagger,1089,"[""staggered"",""staggering"",""staggers""]",5,"[""noun"",""verb transitive"",""other""]",,7297,"v.搖晃,蹣跚,交錯,搖搖擺擺adj.交錯的"
tangle,1060,"[""tangled"",""tangling"",""tangles""]",5,"[""noun"",""verb intransitive"",""verb"",""other""]",,7298,n.混亂狀態v.處於混亂狀態
rattle,1059,"[""rattled"",""rattling"",""rattles""]",5,"[""verb intransitive"",""verb transitive"",""noun"",""other""]",,7299,"v.發出卡嗒卡嗒聲,喋喋不休,急忙地做n.嚇吱聲,喋喋不休的人"
ozone,1055,"[""ozones""]",5,"[""noun"",""verb transitive""]",,7300,"n.新鮮的空氣,[化]臭氧"
cardboard,1034,"[""cardboards""]",5,"[""noun""]",,7301,n.紙板
foe,1032,"[""foes""]",5,"[""noun"",""verb transitive""]",,7302,"n.反對者,敵人,危害物"
lash,1027,"[""lashed"",""lashing"",""lashes""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7303,"n.鞭子,鞭打,睫毛,責罵,諷刺vt.鞭打,擺動,扎捆,衝擊,煽動,諷刺vi.猛擊,急速甩動"
dusk,1026,"[""dusks""]",5,"[""adjective"",""noun"",""verb transitive"",""verb intransitive""]",,7304,"n.薄暮,黃昏"
sober,1014,"[""sobered"",""sobering"",""sobers""]",5,"[""superlative"",""verb transitive"",""verb intransitive"",""other"",""noun""]",,7305,adj.冷靜的v.鎮定
reckless,1012,[],5,"[""adjective""]",,7306,adj.不計後果的
nag,1003,"[""nagged"",""nagging"",""nags""]",5,"[""noun"",""other"",""adjective""]",,7307,"n.老馬,駑馬,劣等競賽馬,(作坐騎的)矮小馬,嘮叨v.不斷地嘮叨,惱人"
nonviolence,1002,"[""nonviolences""]",5,"[""noun""]",,7308,n.非暴力
tramp,995,"[""tramped"",""tramping"",""tramps""]",5,"[""verb intransitive"",""noun"",""other""]",,7309,"v.重步行走,踏,踐,踐踏"
breadth,982,"[""breadths""]",5,"[""adjective""]",,7310,"n.寬度,(布的)幅寬,(船)幅"
oblong,980,"[""oblongs""]",5,"[""adjective"",""noun""]",,7311,"n.長方形,橢園形adj.長方形的,橢園形的"
sly,968,[],5,"[""verb transitive"",""adv""]",,7312,adj.狡猾的
lump,966,"[""lumped"",""lumping"",""lumps""]",5,"[""noun"",""verb intransitive"",""other"",""adjective""]",,7313,"n.塊(尤指小塊),腫塊,笨人vt.使成塊狀,混在一起,忍耐,笨重地移動vi.結塊"
torrent,962,"[""torrents""]",5,"[""noun""]",,7314,"n.急流,洪流,連發,迸發"
bowel,956,"[""bowels""]",5,"[""noun"",""verb transitive""]",,7315,"n.腸adj.內部,同情心"
rhinoceros,956,"[""rhinoceri""]",5,"[""noun""]",,7316,n.[動]犀牛
bodily,953,"[""bodilies""]",5,"[""adjective"",""adv""]",,7317,"adj.身體的adv.肉體上,親自地,全部"
barefoot,952,[],5,"[""other"",""adjective""]",,7318,adj.赤腳的
thigh,950,"[""thighs""]",5,"[""noun""]",,7319,"n.大腿,股"
rascal,950,"[""rascals""]",5,"[""verb"",""adjective"",""noun""]",,7320,"n.流氓,無賴,壞蛋,淘氣鬼adj.不誠實的,卑鄙的,下賤的"
resent,930,"[""resented"",""resenting"",""resents""]",5,"[""verb transitive"",""verb intransitive"",""other"",""adjective"",""noun""]",,7321,"v.憤恨,怨恨"
lonesome,919,[],5,"[""superlative""]",,7322,adj.寂寞的
tentative,909,[],5,"[""adjective"",""noun""]",,7323,"n.試驗,假設adj.試驗性的,試探的,嘗試的,暫定的"
refute,896,"[""refuted"",""refuting"",""refutes""]",5,"[""verb transitive"",""other"",""adjective"",""noun""]",,7324,"vt.駁倒,反駁"
trot,891,"[""trotted"",""trotting"",""trots""]",5,"[""verb intransitive"",""noun"",""verb transitive"",""other""]",,7325,"v.(使)小跑,(使)快步走,騎馬小跑,疾走n.小跑,騎馬,疾走,忙碌"
bruise,886,"[""bruised"",""bruising"",""bruises""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other""]",,7326,"n.瘀傷,擦傷v.打傷,撞傷"
ample,886,[],5,"[""adjective"",""adv"",""noun""]",,7327,"adj.充足的,豐富的"
chimpanzee,884,"[""chimpanzees""]",5,"[""noun""]",,7328,"n.[動]非洲的小人猿,黑猩猩"
crib,878,"[""cribbed"",""cribbing"",""cribs""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7329,"n.嬰兒床,食槽,柵欄vi.抄襲vt.拘禁,關入柵欄"
slew,870,"[""slewed"",""slewing"",""slews""]",5,"[""other"",""verb transitive"",""adjective""]",,7330,v.回轉
wreath,864,"[""wreaths""]",5,"[""noun"",""noun (plural)"",""verb intransitive"",""other"",""past participle""]",,7331,"n.花圈,花冠,圈狀物"
handicraft,864,"[""handicrafts""]",5,"[""noun""]",,7332,"n.手工藝,手工藝品,手藝"
glitter,858,"[""glittered"",""glittering"",""glitters""]",5,"[""verb intransitive"",""noun"",""other""]",,7333,"vi.閃閃發光,閃爍,閃光n.閃光"
spaceship,857,"[""spaceships""]",5,"[""noun""]",,7334,n.太空船
slump,854,"[""slumped"",""slumping"",""slumps""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7335,"n.消沉,衰退,(物價)暴跌v.失敗,消沉,(物價)暴跌,跌落"
commonplace,842,"[""commonplaces""]",5,"[""adjective"",""noun"",""verb transitive"",""verb intransitive""]",,7336,"n.平凡的事,平常話adj.平凡的"
solemn,824,[],5,"[""adjective"",""noun"",""verb transitive""]",,7337,"adj.莊嚴的,隆重的,嚴肅的"
ripple,820,"[""rippled"",""rippling"",""ripples""]",5,"[""verb"",""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",,7338,n.波紋v.起波紋
massage,816,"[""massaged"",""massaging"",""massages""]",5,"[""noun""]",,7339,n.按摩v.按摩
indifference,812,"[""indifferences""]",5,"[""noun"",""adjective"",""adv""]",,7340,n.不關心
greed,809,"[""greeds""]",5,"[""noun""]",,7341,"n.貪欲,貪婪"
pluck,807,"[""plucked"",""plucking"",""plucks""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",,7342,"n.勇氣v.拔去(雞、鴨等)毛,采集"
superstition,807,"[""superstitions""]",5,"[""noun""]",,7343,n.迷信
scrape,804,"[""scraped"",""scraping"",""scrapes""]",5,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""adjective""]",,7344,"n.刮,擦,擦痕,刮擦聲,困境vi.刮掉,擦掉,刮出刺耳聲vt.刮,擦,擦傷,挖成"
fad,799,"[""fads""]",5,"[""noun""]",,7345,"n.時尚,一時流行的狂熱,一時的愛好"
chairwoman,796,"[""chairwomen""]",5,"[""noun""]",,7346,"n.女主席,女議長"
adolescence,791,"[""adolescences""]",5,"[""noun""]",,7347,n.青春期(一般指成年以前由13至15的發育期)
videotape,778,"[""videotaped"",""videotapes""]",5,"[""noun"",""verb""]",,7348,
computerize,771,[],5,[null],,7349,"vt.用計算機處理,使計算機化"
abrupt,766,[],5,"[""adjective"",""noun"",""verb transitive""]",,7350,"adj.突然的,陡峭的,生硬的"
apt,763,"[""apter""]",5,"[""adjective"",""verb transitive"",""noun""]",,7351,"adj.易於...的,有...傾向的,靈敏的,靈巧的,適當的,切題的,敏捷,傾向是"
clasp,763,"[""clasped"",""clasping"",""clasps""]",5,"[""verb transitive"",""noun"",""other""]",,7352,"n.扣子,鉤,緊握,抱住v.扣緊,緊握,摟抱,密切合作"
lame,762,"[""lamed"",""lames""]",5,"[""superlative"",""verb transitive"",""other"",""noun (plural)"",""adv"",""noun""]",,7353,"adj.跛足的,僵痛的,不完全的,金屬薄片,不知內情的人,(辯解、論據等)無說服力的vi.變跛,瘸行vt.使成殘廢"
plow,761,"[""plows""]",5,"[""noun"",""verb transitive"",""verb intransitive"",""other""]",,7354,n.v.=plough
stink,760,"[""stank"",""stinking"",""stinks"",""stinked"",""stunk""]",5,"[""verb intransitive"",""verb transitive"",""noun"",""adjective"",""other""]",,7355,v.發出臭味
heterosexual,750,"[""heterosexuals""]",5,"[""noun"",""adjective""]",,7356,"adj.異性的,異性愛的n.異性戀的人"
naive,748,"[""naives""]",5,"[""adjective"",""noun"",""adv""]",,7357,adj.天真的
sturdy,746,"[""sturdier"",""sturdiest""]",5,"[""superlative"",""noun""]",,7358,"adj.強健的,堅定的,毫不含糊的n.[獸醫]家畜暈倒病"
vibrate,739,"[""vibrated"",""vibrating"",""vibrates""]",5,"[""other"",""verb transitive"",""verb intransitive""]",,7359,"v.(使)振動,(使)搖擺"
